FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
347,,1919,Person,1919-347,61.9,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960617,619053.0496,3078.2621,,
348,,1919,Person,1919-348,126.6,linens,,2.00705E+13,19190722,digitised,JA70003000,,1960618,1266533.25,4509.2985,,
352,,1919,Person,1919-352,687.5,linens,,2.00705E+13,19190818,assumed_shape,JA70003000,,1960619,6875069.107,11582.6866,,
35b,,1919,Person,1919-35b,182.2,linens,,2.00705E+13,19190803,digitised,JA70003000,,1960620,1822367.726,5794.6742,,
361,,1919,Person,1919-361,218.5,linens,,2.00705E+13,19190919,assumed_shape,JA70003000,,1960621,2185320.465,9931.4396,,
363,,1919,Person,1919-363,207.9,linens,,2.00705E+13,19190831,digitised,JA70003000,,1960622,2079503.616,6665.8379,,
365,,1919,Person,1919-365,36.4,linens,,2.00705E+13,19190808,assumed_shape,JA70003000,,1960623,364191.5247,2258.3996,,
366,,1919,Person,1919-366,22.9,linens,,2.00705E+13,19190818,assumed_shape,JA70003000,,1960624,229403.5743,1820.1159,,
367,,1919,Person,1919-367,15.3,linens,,2.00705E+13,19190725,digitised,JA70003000,,1960625,153352.8135,1535.9711,,
43,,1919,Person,1919-43,169.8,linens,,2.00705E+13,19190722,digitised,JA70003000,,1960652,1697996.784,6359.6917,,
432a,,1919,Person,1919-432a,112.7,linens,,2.00705E+13,19190817,assumed_shape,JA70003000,,1960653,1127537.625,3768.9698,,
44,,1919,Person,1919-44,3367.3,linens,,2.00705E+13,19190715,digitised,JA70003000,,1960654,33673049.29,26234.2264,,
446,,1919,Person,1919-446,514.9,linens,,2.00705E+13,19190801,digitised,JA70003000,,1960655,5149338.339,9748.6778,,
463,,1919,Person,1919-463,1181.4,linens,,2.00705E+13,19190902,assumed_shape,JA70003000,,1960665,11814649.54,15540.7227,,
467,,1919,Person,1919-467,82.2,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960666,822615.1339,3556.0687,,
46b,,1919,Person,1919-46b,25.6,linens,,2.00705E+13,19190711,digitised,JA70003000,,1960667,256326.6855,2085.3644,,
47,,1919,Person,1919-47,89.6,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960668,896418.476,3907.2917,,
475,,1919,Person,1919-475,19.8,linens,,2.00705E+13,19190915,digitised,JA70003000,,1960669,198125.0333,1688.7088,,
475,,1919,Person,1919-475,24.1,linens,,2.00705E+13,19190915,assumed_shape,JA70003000,,1960670,241535.247,1744.4053,,
47a,,1919,Person,1919-47a,88.6,linens,,2.00705E+13,19190727,digitised,JA70003000,,1960671,886080.3756,3854.3492,,
48,,1919,Lightning,1919-48,503.5,linens,,2.00705E+13,19190812,assumed_shape,JA70003000,,1960672,5035009.841,8739.1108,,
48,,1919,Person,1919-48,4900.2,linens,,2.00705E+13,19190713,digitised,JA70003000,,1960673,49002683.33,51466.3938,,
48,,1919,Lightning,1919-48,11168,linens,,2.00705E+13,19190722,digitised,JA70003000,,1960674,111680183.7,55184.4415,,
483,,1919,Person,1919-483,1997.8,linens,,2.00705E+13,19190915,digitised,JA70003000,,1960675,19978902.97,25981.0454,,
484,,1919,Person,1919-484,1671.7,linens,,2.00705E+13,19190926,digitised,JA70003000,,1960676,16717247.32,33887.2936,,
485,,1919,Person,1919-485,871,linens,,2.00705E+13,19190926,digitised,JA70003000,,1960677,8710817.867,15918.2229,,
486,,1919,Person,1919-486,778.1,linens,,2.00705E+13,19190525,assumed_shape,JA70003000,,1960678,7781564.627,20330.0305,,
447,,1919,Person,1919-447,1165.7,linens,,2.00705E+13,19190827,digitised,JA70003000,,1960656,11657038.04,18457.7535,,
447,,1919,Person,1919-447,97.1,linens,,2.00705E+13,19190827,digitised,JA70003000,,1960657,971091.5334,4301.3709,,
45,,1919,Person,1919-45,51.4,linens,,2.00705E+13,19190702,assumed_shape,JA70003000,,1960658,514131.8402,3181.2692,,
45,,1919,Person,1919-45,920.6,linens,,2.00705E+13,19190715,assumed_shape,JA70003000,,1960659,9206768.859,16238.3764,,
45,,1919,Person,1919-45,1578.7,linens,,2.00705E+13,19190618,digitised,JA70003000,,1960660,15787283.31,20084.6237,,
450,,1919,Person,1919-450,14.6,linens,,2.00705E+13,19190927,digitised,JA70003000,,1960661,146711.3075,1489.5028,,
456,,1919,Person,1919-456,122.5,linens,,2.00705E+13,19190928,digitised,JA70003000,,1960662,1225768.265,5191.0458,,
458,,1919,Person,1919-458,80.3,linens,,2.00705E+13,19190927,digitised,JA70003000,,1960663,803843.5087,3890.9717,,
46,,1919,Lightning,1919-46,1504.8,linens,,2.00705E+13,19190730,digitised,JA70003000,,1960664,15048638.87,20199.3661,,
414b,,1919,Person,1919-414b,205.5,linens,,2.00705E+13,19190928,assumed_shape,JA70003000,,1960639,2055696.988,5555.6577,,
418,,1919,Person,1919-418,1150.8,linens,,2.00705E+13,19190920,assumed_shape,JA70003000,,1960640,11508663.84,18988.7927,,
422,,1919,Person,1919-422,823.1,linens,,2.00705E+13,19190919,digitised,JA70003000,,1960641,8231774.311,17773.4491,,
422,,1919,Person,1919-422,775.5,linens,,2.00705E+13,19190919,digitised,JA70003000,,1960642,7755227.421,15364.1998,,
422,,1919,Person,1919-422,168.8,linens,,2.00705E+13,19190919,digitised,JA70003000,,1960643,1688925.11,5641.5239,,
422,,1919,Person,1919-422,17.9,linens,,2.00705E+13,19190919,digitised,JA70003000,,1960644,179915.7238,1605.0535,,
422,,1919,Person,1919-422,1328,linens,,2.00705E+13,19190919,digitised,JA70003000,,1960645,13280189.84,16998.5103,,
422,,1919,Person,1919-422,89.2,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960646,892071.2204,4709.9386,,
422,,1919,Person,1919-422,284.8,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960647,2848920.37,7688.2923,,
422,,1919,Person,1919-422,16,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960648,160006.516,1675.1046,,
426,,1919,Person,1919-426,97.3,linens,,2.00705E+13,19190921,digitised,JA70003000,,1960649,973347.9373,5633.026,,
429a,,1919,Person,1919-429a,141.3,linens,,2.00705E+13,19190917,assumed_shape,JA70003000,,1960650,1413671.599,4359.4538,,
43,,1919,Person,1919-43,41.8,linens,,2.00705E+13,19190715,digitised,JA70003000,,1960651,418153.8773,2518.8295,,
553,,1919,Person,1919-553,58.5,linens,,2.00705E+13,19190910,digitised,JA70003000,,1960703,585842.4507,3810.7176,,
55a,,1919,Person,1919-55a,1752.2,linens,,2.00705E+13,19190715,digitised,JA70003000,,1960704,17522290.14,23912.2789,,
56,,1919,Person,1919-56,109.6,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960705,1096021.991,4374.2978,,
56a,,1919,Person,1919-56a,39.5,linens,,2.00705E+13,19190709,digitised,JA70003000,,1960706,395674.4578,2658.1923,,
57,,1919,Person,1919-57,28,linens,,2.00705E+13,19190709,digitised,JA70003000,,1960707,280178.8826,2021.2964,,
57,,1919,Person,1919-57,44,linens,,2.00705E+13,19190716,digitised,JA70003000,,1960708,440248.2725,2748.6195,,
58,,1919,Person,1919-58,41,linens,,2.00705E+13,19190712,digitised,JA70003000,,1960709,410675.1044,2537.5361,,
58,,1919,Person,1919-58,110.6,linens,,2.00705E+13,19190715,digitised,JA70003000,,1960710,1106820.838,4331.8379,,
